#T(GeV)  deltan_rel_tot(gamma=0.0)   deltan_rel_tot(gamma=0.5)   deltan_rel_tot(gamma=1.0)   deltan_rel_tot(gamma=1.5)
0.1 -0.10557183440933547 -0.11843296086833434 -0.1303892931046684 -0.1436292396151224
0.1015 -0.11026594099478242 -0.12080432899518018 -0.13134243843783652 -0.14371558106631405
0.10300000000000001 -0.11461214177818757 -0.12292013702429758 -0.1320879530541683 -0.143612511489312
0.10450000000000001 -0.11863211972251568 -0.12479738377712962 -0.13263880586330004 -0.14332983680328257
0.10600000000000001 -0.12234557945914483 -0.12645119561974946 -0.13300644282177593 -0.1428761968650869
0.10750000000000001 -0.12577039954466224 -0.12789500861819178 -0.13320098998664903 -0.14225925145123883
0.109 -0.12892273288674164 -0.12914077244045505 -0.13323142430605978 -0.14148584021610497
0.1105 -0.13181715524086013 -0.13019909802489588 -0.13310572262872625 -0.1405621258337364
0.112 -0.13446678135958184 -0.13107940456717782 -0.1328310094320156 -0.1394937197896366
0.1135 -0.1368834046621425 -0.13179007336940043 -0.13241367626798334 -0.13828579380866016
0.115 -0.13907761446357722 -0.13233855545625364 -0.131859494721565 -0.13694317369327078
0.1165 -0.14105888337778258 -0.13273151744462633 -0.13117371041503245 -0.13547042538205242
0.11800000000000001 -0.14283573646981945 -0.13297491541256495 -0.13036113327713283 -0.13387192431160116
0.11950000000000001 -0.14441581849457039 -0.13307411029778463 -0.12942621780569563 -0.13215191711943575
0.121 -0.14580599476434797 -0.1330339512813739 -0.1283731240461719 -0.13031457195743876
0.1225 -0.14701246324464973 -0.13285885091042024 -0.12720577995388732 -0.12836401937215636
0.124 -0.14804084454421862 -0.13255286275226974 -0.1259279354691331 -0.12630438686214684
0.1255 -0.14889624585806632 -0.13211974346181246 -0.12454320164283857 -0.12413982165199144
0.127 -0.149583337733821 -0.13156301025691605 -0.12305509328280666 -0.12187451135414294
0.1285 -0.1501064459543446 -0.13088599142147184 -0.12146705349098108 -0.1195126960625547
0.13 -0.1504695856146482 -0.13009187094825955 -0.11978248875834713 -0.11705867374840936
0.1315 -0.1506765488498185 -0.1291837301431605 -0.11800478246824797 -0.11451680448987257
0.133 -0.15073093054666703 -0.1281645814995058 -0.11613731740255917 -0.11189150666983852
0.1345 -0.1506361897603039 -0.12703739717872742 -0.11418348501873646 -0.10918725186222149
0.136 -0.1503956986014159 -0.1258051356609258 -0.11214669461010661 -0.10640855704807294
0.1375 -0.1500127533251073 -0.12447075869262328 -0.11003038083632205 -0.10355997253938036
0.139 -0.14949064719470906 -0.1230372516189149 -0.10783800361676696 -0.10064606986218774
0.1405 -0.14883264848091124 -0.12150763621706269 -0.1055730502043205 -0.09767142825241877
0.14200000000000002 -0.14804206609442733 -0.1198849779779664 -0.10323903304696566 -0.094640618661226
0.14350000000000002 -0.14712224172235785 -0.11817238257416914 -0.10083948484327239 -0.09155818897354567
0.14500000000000002 -0.14607657751786723 -0.11637302346143255 -0.098377955665239 -0.08842864828932664
0.14650000000000002 -0.14490853297182146 -0.11449012322067373 -0.0958580024775203 -0.08525645212855726
0.14800000000000002 -0.1436216465257333 -0.11252695581571999 -0.09328318468621316 -0.08204598688358908
0.14950000000000002 -0.14221954000931541 -0.1104868462793061 -0.09065705506237977 -0.07880155651127035
0.15100000000000002 -0.14070590416114206 -0.10837316559729156 -0.08798315028461719 -0.07552736914022076
0.15250000000000002 -0.13908452191692752 -0.10618932529422295 -0.085264981807338 -0.07222752467995124
0.15400000000000003 -0.13735923442261536 -0.10393876308726177 -0.08250602899216349 -0.06890600426289546
0.1555 -0.1355339625025681 -0.10162494323205296 -0.07970972633508917 -0.06556666066005813
0.157 -0.1336126885607784 -0.09925134979393656 -0.07687945772060374 -0.062213209671275194
0.1585 -0.13159945081993032 -0.09682145234946894 -0.07401854640617873 -0.05884922330381011
0.16 -0.12949833139965508 -0.0943387378416993 -0.07113024769626604 -0.05547812306601784

